"p","d","q","AIC","BIC","AICc"
0,1,0,3970.79396651669,3975.4086921169,3970.79934286078
0,1,1,3466.56352531584,3475.79297651624,3466.57967605608
1,1,0,3704.41255113089,3713.6420023313,3704.42870187113
1,1,1,3460.10010874309,3473.9442855437,3460.13245375657
2,1,0,3625.51774754206,3639.36192434267,3625.55009255554
2,1,1,3462.05476947572,3480.51367187654,3462.10875058233
3,1,0,3575.0240692837,3593.48297168451,3575.07805039031
3,1,1,3461.26796515723,3484.34159315825,3461.34904623831
4,1,0,3547.44485816006,3570.51848616108,3547.52593924115
4,1,1,3461.7383045404,3489.42665814162,3461.85197165813
5,1,0,3506.58082929807,3534.26918289929,3506.69449641579
5,1,1,3459.99395077387,3492.2970299753,3460.14571229148
