"p","d","q","AIC","BIC","AICc"
0,2,0,407.984831967117,410.261498086133,408.04197482426
0,2,1,405.901904807555,410.455237045587,406.075817851033
0,2,2,407.89478323511,414.724781592158,408.24772441158
0,2,3,393.788683015603,402.895347491668,394.385697940976
1,2,0,405.6356638193,410.188996057332,405.809576862778
1,2,1,407.341196498675,414.171194855723,407.694137675145
1,2,2,409.311792917512,418.418457393577,409.908807842885
1,2,3,394.865939059174,406.249269654254,395.775029968265
2,2,0,407.493196158244,414.323194515292,407.846137334714
2,2,1,409.328688259974,418.435352736038,409.925703185347
2,2,2,397.70132904705,409.08465964213,398.61041995614
2,2,3,355.292726948022,368.952723662119,356.58503464033
