"p","d","q","AIC","BIC","AICc"
0,1,0,1605.26693861837,1607.93037771248,1605.30540015683
0,1,1,1527.45498705539,1532.78186524361,1527.57149190976
0,1,2,1521.29372855479,1529.28404583713,1521.52902267244
0,1,3,1517.83900848902,1528.49276486547,1518.23504809298
0,1,4,1516.08972405927,1529.40691952983,1516.68972405927
1,1,0,1579.89767323584,1585.22455142407,1580.01417809021
1,1,1,1525.12530335643,1533.11562063877,1525.36059747408
1,1,2,1518.48575730958,1529.13951368603,1518.88179691354
1,1,3,1518.10701353304,1531.4242090036,1518.70701353304
1,1,4,1518.07346050151,1534.05409506618,1518.92194534999
2,1,0,1523.25423558197,1531.24455286431,1523.48952969962
2,1,1,1513.81636803117,1524.47012440761,1514.21240763513
2,1,2,1511.59119874649,1524.90839421705,1512.19119874649
2,1,3,1490.01067516491,1505.99130972958,1490.85916001339
2,1,4,1491.71960478849,1510.36367844728,1492.86246193135
3,1,0,1522.52124755607,1533.17500393252,1522.91728716003
3,1,1,1510.86480594989,1524.18200142045,1511.46480594989
3,1,2,1512.33472859432,1528.31536315899,1513.1832134428
3,1,3,1491.79551186545,1510.43958552424,1492.93836900831
3,1,4,1488.13615569524,1509.44366844814,1489.62069177772
